股票代码,MACD金叉日期,KDJ金叉日期,MA金叉日期
300190,2024-07-26,2024-07-25,2024-07-29
300192,2024-07-19,2024-07-16,2024-07-22
300193,2024-07-10,2024-07-11,2024-07-15
300195,2024-07-25,2024-07-26,2024-07-29
300201,2024-07-11,2024-07-11,2024-07-16
300203,2024-07-08,2024-07-03,2024-07-05
300207,2024-07-12,2024-07-10,2024-07-12
300211,2024-07-22,2024-07-22,2024-07-17
300212,2024-07-10,2024-07-11,2024-07-05
300213,2024-07-11,2024-07-10,2024-07-16
300214,2024-07-26,2024-07-24,2024-07-26
300215,2024-07-29,2024-07-25,2024-07-30
300218,2024-07-12,2024-07-09,2024-07-15
300219,2024-07-11,2024-07-09,2024-07-15
300220,2024-07-23,2024-07-19,2024-07-25
300221,2024-07-30,2024-07-26,2024-07-30
300222,2024-07-09,2024-07-11,2024-07-12
300223,2024-07-11,2024-07-09,2024-07-12
300224,2024-07-11,2024-07-10,2024-07-15
300227,2024-07-30,2024-07-29,2024-07-30
300231,2024-07-23,2024-07-22,2024-07-26
300232,2024-07-03,2024-07-03,2024-07-04
300235,2024-07-26,2024-07-22,2024-07-26
300236,2024-07-11,2024-07-05,2024-07-05
300239,2024-07-11,2024-07-05,2024-07-05
300241,2024-07-11,2024-07-11,2024-07-15
300242,2024-07-22,2024-07-25,2024-07-26
300246,2024-07-11,2024-07-11,2024-07-17
300248,2024-07-25,2024-07-22,2024-07-26
300249,2024-07-09,2024-07-10,2024-07-11
300252,2024-07-05,2024-07-05,2024-07-04
300253,2024-07-23,2024-07-19,2024-07-25
300258,2024-07-11,2024-07-09,2024-07-15
300261,2024-07-03,2024-07-05,2024-07-05
300264,2024-07-29,2024-07-29,2024-07-29
300265,2024-07-09,2024-07-08,2024-07-03
300270,2024-07-16,2024-07-10,2024-07-15
300271,2024-07-22,2024-07-19,2024-07-25
300272,2024-07-11,2024-07-11,2024-07-16
300275,2024-07-23,2024-07-22,2024-07-17
300276,2024-07-11,2024-07-10,2024-07-15
300278,2024-07-26,2024-07-26,2024-07-30
300279,2024-07-23,2024-07-26,2024-07-26
300281,2024-07-24,2024-07-22,2024-07-25
300284,2024-07-16,2024-07-11,2024-07-15
300285,2024-07-12,2024-07-10,2024-07-15
300291,2024-07-11,2024-07-15,2024-07-17
300292,2024-07-29,2024-07-25,2024-07-30
300295,2024-07-11,2024-07-16,2024-07-17
300296,2024-07-11,2024-07-10,2024-07-15
300302,2024-07-10,2024-07-09,2024-07-05
300303,2024-07-11,2024-07-10,2024-07-12
300304,2024-07-11,2024-07-09,2024-07-11
300305,2024-07-11,2024-07-11,2024-07-17
300306,2024-07-12,2024-07-09,2024-07-15
300307,2024-07-15,2024-07-11,2024-07-15
300310,2024-07-10,2024-07-05,2024-07-05
300311,2024-07-23,2024-07-23,2024-07-25
300315,2024-07-11,2024-07-11,2024-07-17
300316,2024-07-11,2024-07-05,2024-07-10
300318,2024-07-11,2024-07-09,2024-07-15
300320,2024-07-15,2024-07-09,2024-07-12
300321,2024-07-15,2024-07-10,2024-07-15
300323,2024-07-11,2024-07-09,2024-07-12
300324,2024-07-29,2024-07-26,2024-07-29
300327,2024-07-11,2024-07-09,2024-07-12
300331,2024-07-12,2024-07-10,2024-07-15
300335,2024-07-26,2024-07-26,2024-07-26
300337,2024-07-09,2024-07-09,2024-07-12
300341,2024-07-19,2024-07-19,2024-07-16
300342,2024-07-23,2024-07-19,2024-07-24
300344,2024-07-26,2024-07-25,2024-07-30
300345,2024-07-12,2024-07-10,2024-07-16
300347,2024-07-08,2024-07-05,2024-07-09
300349,2024-07-11,2024-07-10,2024-07-16
300351,2024-07-10,2024-07-09,2024-07-15
300352,2024-07-11,2024-07-11,2024-07-05
300357,2024-07-12,2024-07-11,2024-07-17
300365,2024-07-23,2024-07-22,2024-07-26
300366,2024-07-22,2024-07-22,2024-07-16
300369,2024-07-11,2024-07-11,2024-07-16
300370,2024-07-26,2024-07-26,2024-07-30
300371,2024-07-11,2024-07-11,2024-07-17
300373,2024-07-10,2024-07-08,2024-07-11
300375,2024-07-09,2024-07-10,2024-07-11
300376,2024-07-23,2024-07-17,2024-07-22
300377,2024-07-22,2024-07-22,2024-07-25
300380,2024-07-22,2024-07-16,2024-07-22
300381,2024-07-11,2024-07-11,2024-07-17
300383,2024-07-11,2024-07-10,2024-07-15
300388,2024-07-11,2024-07-11,2024-07-16
300389,2024-07-10,2024-07-10,2024-07-15
300390,2024-07-11,2024-07-10,2024-07-15
300400,2024-07-15,2024-07-09,2024-07-15
300401,2024-07-19,2024-07-17,2024-07-18
300402,2024-07-11,2024-07-05,2024-07-05
300403,2024-07-11,2024-07-11,2024-07-16
300407,2024-07-19,2024-07-19,2024-07-16
300408,2024-07-11,2024-07-05,2024-07-11
300411,2024-07-26,2024-07-26,2024-07-30
300413,2024-07-11,2024-07-10,2024-07-16
300414,2024-07-11,2024-07-11,2024-07-16
300418,2024-07-16,2024-07-16,2024-07-19
300419,2024-07-22,2024-07-22,2024-07-23
300420,2024-07-22,2024-07-22,2024-07-17
300422,2024-07-12,2024-07-12,2024-07-16
300425,2024-07-11,2024-07-11,2024-07-17
300426,2024-07-11,2024-07-11,2024-07-15
300428,2024-07-11,2024-07-09,2024-07-15
300432,2024-07-11,2024-07-09,2024-07-15
300439,2024-07-11,2024-07-11,2024-07-15
300440,2024-07-26,2024-07-22,2024-07-26
300441,2024-07-11,2024-07-10,2024-07-15
300442,2024-07-15,2024-07-09,2024-07-15
300444,2024-07-12,2024-07-09,2024-07-15
300445,2024-07-22,2024-07-19,2024-07-25
300446,2024-07-10,2024-07-09,2024-07-12
300447,2024-07-15,2024-07-10,2024-07-16
300450,2024-07-11,2024-07-09,2024-07-15
300454,2024-07-11,2024-07-09,2024-07-15
300455,2024-07-22,2024-07-19,2024-07-16
300456,2024-07-12,2024-07-09,2024-07-15
300458,2024-07-09,2024-07-03,2024-07-09
300460,2024-07-12,2024-07-09,2024-07-12
300461,2024-07-22,2024-07-17,2024-07-17
300462,2024-07-29,2024-07-29,2024-07-25
300463,2024-07-09,2024-07-05,2024-07-11
300467,2024-07-16,2024-07-11,2024-07-16
300469,2024-07-11,2024-07-10,2024-07-12
300473,2024-07-24,2024-07-25,2024-07-26
300475,2024-07-10,2024-07-09,2024-07-12
300477,2024-07-11,2024-07-11,2024-07-05
300481,2024-07-12,2024-07-09,2024-07-15
300482,2024-07-11,2024-07-05,2024-07-11
300484,2024-07-10,2024-07-09,2024-07-15
300487,2024-07-12,2024-07-10,2024-07-16
300488,2024-07-12,2024-07-10,2024-07-16
300491,2024-07-11,2024-07-09,2024-07-12
300493,2024-07-22,2024-07-19,2024-07-23
300497,2024-07-11,2024-07-11,2024-07-16
300498,2024-07-15,2024-07-15,2024-07-16
300499,2024-07-11,2024-07-09,2024-07-15
300500,2024-07-24,2024-07-18,2024-07-24
300503,2024-07-11,2024-07-11,2024-07-15
300504,2024-07-12,2024-07-11,2024-07-16
300507,2024-07-12,2024-07-11,2024-07-15
300508,2024-07-09,2024-07-10,2024-07-12
300509,2024-07-25,2024-07-22,2024-07-26
300510,2024-07-11,2024-07-11,2024-07-17
300512,2024-07-11,2024-07-11,2024-07-16
300515,2024-07-15,2024-07-10,2024-07-15
300516,2024-07-11,2024-07-11,2024-07-15
300517,2024-07-16,2024-07-16,2024-07-17
300520,2024-07-11,2024-07-09,2024-07-15
300527,2024-07-11,2024-07-11,2024-07-15
300529,2024-07-11,2024-07-05,2024-07-11
300531,2024-07-25,2024-07-19,2024-07-25
300532,2024-07-11,2024-07-10,2024-07-16
300535,2024-07-29,2024-07-26,2024-07-30
300538,2024-07-03,2024-07-03,2024-07-04
300539,2024-07-25,2024-07-25,2024-07-26
300542,2024-07-12,2024-07-09,2024-07-15
300543,2024-07-12,2024-07-11,2024-07-15
300545,2024-07-11,2024-07-09,2024-07-12
300547,2024-07-11,2024-07-09,2024-07-12
300548,2024-07-10,2024-07-09,2024-07-15
300550,2024-07-22,2024-07-22,2024-07-22
300553,2024-07-29,2024-07-26,2024-07-30
300554,2024-07-11,2024-07-09,2024-07-12
300556,2024-07-10,2024-07-10,2024-07-15
300557,2024-07-29,2024-07-26,2024-07-30
300558,2024-07-12,2024-07-18,2024-07-17
300560,2024-07-22,2024-07-19,2024-07-24
300562,2024-07-23,2024-07-22,2024-07-17
300563,2024-07-24,2024-07-26,2024-07-29
300564,2024-07-22,2024-07-22,2024-07-25
300565,2024-07-05,2024-07-05,2024-07-05
300566,2024-07-11,2024-07-09,2024-07-12
300567,2024-07-11,2024-07-09,2024-07-11
300568,2024-07-11,2024-07-09,2024-07-15
300570,2024-07-09,2024-07-09,2024-07-11
300576,2024-07-11,2024-07-08,2024-07-11
300577,2024-07-11,2024-07-10,2024-07-11
300580,2024-07-05,2024-07-10,2024-07-05
300582,2024-07-11,2024-07-09,2024-07-12
300583,2024-07-29,2024-07-26,2024-07-29
300585,2024-07-16,2024-07-10,2024-07-15
300587,2024-07-11,2024-07-11,2024-07-16
300588,2024-07-24,2024-07-19,2024-07-25
300589,2024-07-19,2024-07-18,2024-07-16
300590,2024-07-09,2024-07-08,2024-07-10
300594,2024-07-11,2024-07-09,2024-07-15
300602,2024-07-10,2024-07-09,2024-07-12
300604,2024-07-09,2024-07-03,2024-07-05
300605,2024-07-22,2024-07-22,2024-07-23
300607,2024-07-30,2024-07-26,2024-07-30
300608,2024-07-11,2024-07-11,2024-07-17
300611,2024-07-10,2024-07-10,2024-07-11
300612,2024-07-09,2024-07-11,2024-07-15
300613,2024-07-11,2024-07-08,2024-07-11
300615,2024-07-26,2024-07-22,2024-07-26
300618,2024-07-10,2024-07-10,2024-07-15
300620,2024-07-10,2024-07-09,2024-07-12
300622,2024-07-11,2024-07-11,2024-07-17
300623,2024-07-12,2024-07-09,2024-07-11
300625,2024-07-26,2024-07-26,2024-07-29
300626,2024-07-25,2024-07-23,2024-07-25
300627,2024-07-10,2024-07-08,2024-07-11
300628,2024-07-10,2024-07-04,2024-07-10
300632,2024-07-11,2024-07-11,2024-07-12
300633,2024-07-18,2024-07-12,2024-07-18
300634,2024-07-10,2024-07-09,2024-07-05
300635,2024-07-11,2024-07-11,2024-07-17
300638,2024-07-11,2024-07-09,2024-07-12
300647,2024-07-30,2024-07-26,2024-07-30
300648,2024-07-11,2024-07-09,2024-07-15
300649,2024-07-12,2024-07-11,2024-07-17
300652,2024-07-11,2024-07-09,2024-07-15
300656,2024-07-19,2024-07-19,2024-07-15
300657,2024-07-09,2024-07-05,2024-07-11
300659,2024-07-22,2024-07-19,2024-07-25
300663,2024-07-25,2024-07-29,2024-07-25
300665,2024-07-19,2024-07-19,2024-07-24
300666,2024-07-10,2024-07-04,2024-07-09
300668,2024-07-09,2024-07-10,2024-07-12
300669,2024-07-22,2024-07-19,2024-07-24
300671,2024-07-09,2024-07-08,2024-07-09
300672,2024-07-12,2024-07-08,2024-07-11
300673,2024-07-10,2024-07-05,2024-07-10
300674,2024-07-12,2024-07-10,2024-07-16
300675,2024-07-18,2024-07-12,2024-07-17
300678,2024-07-19,2024-07-17,2024-07-23
300679,2024-07-11,2024-07-09,2024-07-11
300680,2024-07-26,2024-07-22,2024-07-26
300681,2024-07-12,2024-07-09,2024-07-15
300689,2024-07-22,2024-07-19,2024-07-24
300691,2024-07-10,2024-07-09,2024-07-12
300692,2024-07-25,2024-07-23,2024-07-26
300693,2024-07-12,2024-07-09,2024-07-15
300694,2024-07-09,2024-07-09,2024-07-15
300695,2024-07-11,2024-07-11,2024-07-16
300697,2024-07-09,2024-07-08,2024-07-04
300700,2024-07-22,2024-07-25,2024-07-26
300701,2024-07-11,2024-07-10,2024-07-15
300703,2024-07-11,2024-07-11,2024-07-17
300707,2024-07-11,2024-07-09,2024-07-12
300708,2024-07-12,2024-07-09,2024-07-12
300709,2024-07-09,2024-07-09,2024-07-03
300710,2024-07-11,2024-07-11,2024-07-15
300711,2024-07-26,2024-07-26,2024-07-30
300712,2024-07-10,2024-07-05,2024-07-11
300713,2024-07-11,2024-07-11,2024-07-12
300718,2024-07-19,2024-07-18,2024-07-23
300722,2024-07-15,2024-07-10,2024-07-16
300723,2024-07-11,2024-07-05,2024-07-11
300724,2024-07-05,2024-07-11,2024-07-05
300725,2024-07-05,2024-07-05,2024-07-10
300726,2024-07-15,2024-07-09,2024-07-15
300727,2024-07-09,2024-07-05,2024-07-10
300731,2024-07-05,2024-07-05,2024-07-03
300733,2024-07-12,2024-07-09,2024-07-15
300737,2024-07-16,2024-07-11,2024-07-17
300738,2024-07-09,2024-07-09,2024-07-11
300743,2024-07-11,2024-07-10,2024-07-12
300745,2024-07-12,2024-07-09,2024-07-15
300746,2024-07-22,2024-07-17,2024-07-17
300747,2024-07-11,2024-07-09,2024-07-15
300750,2024-07-12,2024-07-11,2024-07-17
300752,2024-07-11,2024-07-09,2024-07-11
300757,2024-07-08,2024-07-05,2024-07-11
300758,2024-07-11,2024-07-09,2024-07-15
300759,2024-07-10,2024-07-05,2024-07-10
300760,2024-07-18,2024-07-17,2024-07-22
300762,2024-07-24,2024-07-19,2024-07-24
300767,2024-07-11,2024-07-11,2024-07-17
300769,2024-07-11,2024-07-10,2024-07-16
300770,2024-07-09,2024-07-09,2024-07-15
300771,2024-07-10,2024-07-11,2024-07-12
300773,2024-07-11,2024-07-09,2024-07-15
300775,2024-07-18,2024-07-18,2024-07-19
300776,2024-07-15,2024-07-09,2024-07-15
300778,2024-07-15,2024-07-12,2024-07-16
300779,2024-07-17,2024-07-11,2024-07-17
300782,2024-07-12,2024-07-09,2024-07-12
300786,2024-07-17,2024-07-11,2024-07-16
300788,2024-07-11,2024-07-11,2024-07-17
300790,2024-07-09,2024-07-09,2024-07-10
300793,2024-07-29,2024-07-26,2024-07-30
300797,2024-07-11,2024-07-09,2024-07-15
300798,2024-07-11,2024-07-11,2024-07-17
300800,2024-07-11,2024-07-11,2024-07-15
300802,2024-07-12,2024-07-10,2024-07-15
300807,2024-07-10,2024-07-09,2024-07-10
300809,2024-07-12,2024-07-11,2024-07-16
300810,2024-07-19,2024-07-19,2024-07-23
300812,2024-07-12,2024-07-11,2024-07-15
300813,2024-07-10,2024-07-05,2024-07-11
300815,2024-07-12,2024-07-11,2024-07-16
300817,2024-07-16,2024-07-19,2024-07-15
300821,2024-07-10,2024-07-09,2024-07-12
300822,2024-07-26,2024-07-26,2024-07-30
300824,2024-07-26,2024-07-26,2024-07-26
300825,2024-07-11,2024-07-09,2024-07-11
300826,2024-07-30,2024-07-26,2024-07-30
300827,2024-07-10,2024-07-05,2024-07-11
300828,2024-07-12,2024-07-10,2024-07-15
300836,2024-07-16,2024-07-11,2024-07-15
300838,2024-07-25,2024-07-26,2024-07-30
300843,2024-07-09,2024-07-08,2024-07-04
300844,2024-07-12,2024-07-12,2024-07-15
300847,2024-07-11,2024-07-11,2024-07-16
300849,2024-07-26,2024-07-26,2024-07-30
300851,2024-07-15,2024-07-11,2024-07-16
300853,2024-07-22,2024-07-26,2024-07-26
300854,2024-07-22,2024-07-22,2024-07-25
300858,2024-07-10,2024-07-09,2024-07-15
300864,2024-07-10,2024-07-05,2024-07-08
300865,2024-07-09,2024-07-09,2024-07-11
300867,2024-07-09,2024-07-09,2024-07-15
300870,2024-07-12,2024-07-09,2024-07-12
300873,2024-07-12,2024-07-11,2024-07-17
300875,2024-07-11,2024-07-09,2024-07-15
300883,2024-07-26,2024-07-26,2024-07-30
300884,2024-07-23,2024-07-22,2024-07-17
300886,2024-07-11,2024-07-10,2024-07-15
300888,2024-07-03,2024-07-09,2024-07-04
300890,2024-07-10,2024-07-09,2024-07-15
300891,2024-07-09,2024-07-05,2024-07-04
300895,2024-07-29,2024-07-29,2024-07-30
300896,2024-07-10,2024-07-09,2024-07-15
300901,2024-07-24,2024-07-19,2024-07-22
300907,2024-07-29,2024-07-26,2024-07-30
300909,2024-07-16,2024-07-10,2024-07-15
300913,2024-07-09,2024-07-09,2024-07-04
300915,2024-07-11,2024-07-11,2024-07-16
300916,2024-07-09,2024-07-09,2024-07-10
300920,2024-07-11,2024-07-10,2024-07-15
300922,2024-07-11,2024-07-10,2024-07-15
300923,2024-07-11,2024-07-11,2024-07-15
300925,2024-07-12,2024-07-10,2024-07-15
300928,2024-07-11,2024-07-10,2024-07-05
300929,2024-07-22,2024-07-22,2024-07-26
300931,2024-07-22,2024-07-19,2024-07-25
300933,2024-07-26,2024-07-22,2024-07-26
300935,2024-07-11,2024-07-11,2024-07-17
300937,2024-07-03,2024-07-05,2024-07-04
300939,2024-07-12,2024-07-11,2024-07-15
300943,2024-07-12,2024-07-10,2024-07-15
300948,2024-07-11,2024-07-16,2024-07-17
300949,2024-07-11,2024-07-11,2024-07-16
300953,2024-07-09,2024-07-09,2024-07-12
300955,2024-07-12,2024-07-11,2024-07-16
300957,2024-07-11,2024-07-11,2024-07-15
300958,2024-07-26,2024-07-26,2024-07-30
300960,2024-07-09,2024-07-11,2024-07-15
300961,2024-07-12,2024-07-11,2024-07-17
300968,2024-07-10,2024-07-09,2024-07-12
300969,2024-07-11,2024-07-09,2024-07-12
300975,2024-07-10,2024-07-09,2024-07-15
300976,2024-07-11,2024-07-09,2024-07-11
300978,2024-07-09,2024-07-09,2024-07-10
300980,2024-07-09,2024-07-09,2024-07-11
300981,2024-07-12,2024-07-10,2024-07-16
300982,2024-07-19,2024-07-25,2024-07-25
300987,2024-07-22,2024-07-22,2024-07-26
300990,2024-07-12,2024-07-09,2024-07-15
300992,2024-07-25,2024-07-25,2024-07-29
300994,2024-07-24,2024-07-24,2024-07-29
300996,2024-07-18,2024-07-16,2024-07-17
300997,2024-07-10,2024-07-10,2024-07-16
300999,2024-07-17,2024-07-17,2024-07-19
