股票代码,银山谷日期,金山谷日期,间隔天数
300866,2024-04-19,2024-05-08,10
300870,2024-04-30,2024-05-20,11
300871,2024-05-07,2024-05-22,11
300879,2024-04-30,2024-05-20,11
300880,2024-05-06,2024-05-27,15
300883,2024-05-09,2024-05-23,10
300885,2024-05-06,2024-05-20,10
300894,2024-04-16,2024-05-07,12
300898,2024-05-08,2024-05-22,10
300901,2024-05-08,2024-05-27,13
300902,2024-04-30,2024-05-20,11
300907,2024-04-22,2024-05-16,15
300908,2024-04-18,2024-05-07,10
300910,2024-04-18,2024-05-16,17
300913,2024-04-30,2024-05-17,10
300918,2024-05-07,2024-05-21,10
300922,2024-04-11,2024-04-25,10
300929,2024-05-08,2024-05-22,10
300930,2024-05-10,2024-05-24,10
300932,2024-05-07,2024-05-21,10
300941,2024-05-08,2024-05-22,10
300943,2024-05-07,2024-05-23,12
300951,2024-04-30,2024-05-21,12
300953,2024-04-11,2024-04-26,11
300955,2024-05-08,2024-05-22,10
300959,2024-05-08,2024-05-22,10
300963,2024-05-10,2024-05-24,10
300976,2024-04-30,2024-05-20,11
300977,2024-05-06,2024-05-20,10
300979,2024-05-06,2024-05-20,10
300980,2024-05-08,2024-05-22,10
300982,2024-05-09,2024-05-27,12
300986,2024-05-09,2024-05-23,10
300994,2024-04-22,2024-05-17,16
300995,2024-05-08,2024-05-22,10
300998,2024-05-07,2024-05-22,11
300999,2024-05-06,2024-05-22,12
